rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage,zeldzaam
49629,"LÓPEZ MORENO Miguel Ángel",0,7,1,0,0,0,0,0,0,0,61,Colombia,16,30,0
48301,"MAS NICOLAU Enric",58,7,0,28,0,28,0,0,0,28,65,Spain,7,13,0
48263,"BONNAMOUR Franck",120,23,0,0,0,0,0,0,0,0,223,France,1,2,0
130,"VALVERDE BELMONTE Alejandro",42,7,0,0,0,0,0,0,0,0,67,Spain,8,15,0
33754,"VERONA QUINTANILLA Carlos",0,7,0,0,0,0,0,0,0,0,68,Spain,0,0,0
23924,"BARGUIL Warren",0,14,1,0,0,0,0,0,0,0,131,France,5,9,0
49498,"GESBERT Elie",18,14,0,0,0,0,0,0,0,0,134,France,2,4,0
16787,"GRUZDEV Dmitriy",0,19,0,0,0,0,0,0,0,0,185,Kazahkstan,0,0,0
23627,"QUINTANA ROJAS Nairo Alexander",34,14,0,10,0,0,10,0,0,10,136,Colombia,3,6,0
31947,"CHAVES RUBIO Johan Esteban",14,18,0,10,0,10,0,0,0,10,172,Colombia,1,2,0
52378,"HAMILTON Lucas",0,18,1,0,0,0,0,0,0,0,174,Australia,2,4,0
43692,"JANSEN Amund Grøndahl",0,18,1,0,0,0,0,0,0,0,175,Norway,0,0,0
23913,"MATTHEWS Michael",150,18,0,32,12,0,0,20,0,20,171,Australia,11,21,0
24718,"MEZGEC Luka",88,18,0,48,48,0,0,0,0,0,177,Slovenia,0,0,0
51043,"DE BOD Stefan",0,19,1,0,0,0,0,0,0,0,183,"South Africa",0,0,0
36875,"YATES Simon",16,18,1,0,0,0,0,0,0,0,178,"United Kingdom",8,15,0
35640,"VAKOC Petr",0,11,0,0,0,0,0,0,0,0,108,"Czech Republic",0,0,0
43736,"BENOOT Tiesj",0,15,1,0,0,0,0,0,0,0,142,Belgium,2,4,0
47062,"BOL Cees",63,15,0,0,0,0,0,0,0,0,143,Netherlands,5,9,0
53379,"EEKHOFF Nils",0,15,0,0,0,0,0,0,0,0,145,Netherlands,0,0,0
44196,"KRAGH ANDERSEN Søren",0,15,1,0,0,0,0,0,0,0,141,Denmark,5,9,0
49525,"NIEUWENHUIS Joris",0,15,0,0,0,0,0,0,0,0,146,Netherlands,1,2,0
49757,"PEDERSEN Casper Phillip",60,15,0,0,0,0,0,0,0,0,147,Denmark,0,0,0
30867,"CAMPENAERTS Victor",0,20,1,0,0,0,0,0,0,0,194,Belgium,1,2,0
6810,"CLARKE Simon",0,20,0,0,0,0,0,0,0,0,195,Australia,0,0,0
41814,"GOGL Michael",0,20,1,0,0,0,0,0,0,0,197,Austria,0,0,0
19983,"HENAO MONTOYA Sergio",4,20,0,0,0,0,0,0,0,0,191,Colombia,0,0,0
23920,"HALLER Marco",0,17,0,0,0,0,0,0,0,0,164,Austria,0,0,0
16265,"BOASSON HAGEN Edvald",0,21,1,0,0,0,0,0,0,0,202,Norway,2,4,0
30202,"SBARAGLI Kristian",0,11,0,0,0,0,0,0,0,0,107,Italy,0,0,0
26833,"DE LA PARTE GONZALEZ Victor",0,21,0,0,0,0,0,0,0,0,204,"Basque Country",0,0,0
37581,"LATOUR Pierre",8,21,0,0,0,0,0,0,0,0,201,France,0,0,0
44819,"TURGIS Anthony",24,21,0,0,0,0,0,0,0,0,208,France,1,2,0
27208,"ELISSONDE Kenny",80,5,0,0,0,0,0,0,0,0,43,France,0,0,0
18657,"MOLLEMA Bauke",105,5,0,5,0,1,4,0,0,5,44,Netherlands,7,13,0
381,"NIBALI Vincenzo",0,5,1,0,0,0,0,0,0,0,41,Italy,1,2,0
47296,"PEDERSEN Mads",15,5,0,0,0,0,0,0,0,0,45,Denmark,4,8,0
27365,"SKUJINS Toms",24,5,0,0,0,0,0,0,0,0,46,Latvia,0,0,0
23283,"STUYVEN Jasper",66,5,0,0,0,0,0,0,0,0,47,Belgium,2,4,0
27113,"THEUNS Edward",56,5,0,0,0,0,0,0,0,0,48,Belgium,0,0,0
53340,"BJERG Mikkel",24,1,0,0,0,0,0,0,0,0,2,Denmark,1,2,0
28217,"DILLIER Silvan",0,11,0,0,0,0,0,0,0,0,102,Switzerland,0,0,0
36962,"FORMOLO Davide",0,1,0,0,0,0,0,0,0,0,4,Italy,1,2,0
53508,"HIRSCHI Marc",0,1,0,0,0,0,0,0,0,0,5,Switzerland,7,13,0
23906,"MAJKA Rafal",0,1,0,0,0,0,0,0,0,0,7,Poland,3,6,0
52102,"MCNULTY Brandon",0,1,0,0,0,0,0,0,0,0,8,"United States",2,4,0
53443,"POGACAR Tadej",243,1,0,104,0,50,25,4,25,104,1,Slovenia,49,92,0
41482,"ZABEL Rick",0,4,0,0,0,0,0,0,0,0,38,Germany,0,0,0
58398,"SWEENY Harry",60,16,0,0,0,0,0,0,0,0,156,Australia,0,0,0
55616,"VAN MOER Brent",25,16,0,1,0,0,0,0,1,1,158,Belgium,0,0,0
53144,"GODON Dorian",4,13,0,0,0,0,0,0,0,0,122,France,0,0,0
52039,"BENNETT Sean",0,20,0,0,0,0,0,0,0,0,193,"United States",4,8,0
51042,"DLAMINI Nicholas",0,20,1,0,0,0,0,0,0,0,196,"South Africa",0,0,0
42314,"WALSCHEID Max",8,20,0,4,4,0,0,0,0,0,198,Germany,0,0,0
27594,"BOUHANNI Nacer",124,14,1,0,0,0,0,0,0,0,132,France,9,17,0
23842,"DELAPLACE Anthony",0,14,1,0,0,0,0,0,0,0,133,France,0,0,0
36436,"MCLAY Daniel",0,14,1,0,0,0,0,0,0,0,135,"United Kingdom",0,0,0
51234,"RUSSO Clement",0,14,1,0,0,0,0,0,0,0,137,France,0,0,0
53828,"SWIFT Connor",0,14,0,0,0,0,0,0,0,0,138,"United Kingdom",0,0,0
23942,"DURBRIDGE Luke",0,18,0,0,0,0,0,0,0,0,173,Australia,0,0,0
21520,"JUUL JENSEN Christopher",0,18,0,0,0,0,0,0,0,0,176,Denmark,0,0,0
19599,"FARIA DA COSTA Rui Alberto",0,1,0,0,0,0,0,0,0,0,3,Portugal,1,2,0
19435,"GAUTIER Cyril",0,23,0,0,0,0,0,0,0,0,225,France,0,0,0
223,"LEMOINE Cyril",0,23,1,0,0,0,0,0,0,0,226,France,0,0,0
27560,"FERNANDEZ ANDUJAR Rubén",0,10,0,0,0,0,0,0,0,0,92,Spain,0,0,0
6964,"CAVENDISH Mark",255,6,0,55,30,0,0,25,0,25,55,"United Kingdom",6,11,0
18572,"DEVENYNS Dries",0,6,0,0,0,0,0,0,0,0,57,Belgium,0,0,0
44824,"GUERREIRO Ruben",43,12,0,3,0,3,0,0,0,3,113,Portugal,0,0,0
53377,"RUTSCH Jonas",2,12,0,2,0,0,0,0,2,2,118,Germany,0,0,0
47252,"ROTA Lorenzo",4,22,0,0,0,0,0,0,0,0,214,Italy,0,0,0
52339,"ZIMMERMANN Georg",16,22,0,0,0,0,0,0,0,0,218,Germany,0,0,0
46905,"ARCAS PEÑA Jorge",0,7,0,0,0,0,0,0,0,0,62,Spain,0,0,0
49769,"GARCIA CORTINA Ivan",48,7,0,0,0,0,0,0,0,0,64,Spain,0,0,0
47288,"SOLER GIMENEZ Marc",0,7,1,0,0,0,0,0,0,0,66,Spain,2,4,0
54709,"DONOVAN Mark",4,15,0,4,0,0,0,0,4,4,144,"United Kingdom",0,0,0
29735,"SÜTTERLIN Jasha",0,15,1,0,0,0,0,0,0,0,148,Germany,0,0,0
41601,"BARBERO CUESTA Carlos",0,20,0,0,0,0,0,0,0,0,192,Spain,1,2,0
44699,"CABOT Jeremy",0,21,0,0,0,0,0,0,0,0,203,France,0,0,0
48230,"DOUBEY Fabien",0,21,0,0,0,0,0,0,0,0,205,France,0,0,0
50660,"RODRÍGUEZ MARTIN Cristian",0,21,0,0,0,0,0,0,0,0,206,Spain,0,0,0
20732,"SIMON Julien",0,21,0,0,0,0,0,0,0,0,207,France,0,0,0
41184,"BERNARD Julien",0,5,0,0,0,0,0,0,0,0,42,France,0,0,0
23556,"LAENGEN Vegard Stake",0,1,0,0,0,0,0,0,0,0,6,Norway,1,2,0
