rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage
19599,FARIA DA COSTA Rui Alberto,4,21,0,0,0,0,0,0,0,0,124,Portugal,1,2
19983,HENAO MONTOYA Sergio,0,21,0,0,0,0,0,0,0,0,125,Colombia,0,0
16120,KRISTOFF Alexander,25,21,0,0,0,0,0,0,0,0,126,Norway,15,31
23556,LAENGEN Vegard Stake,0,21,0,0,0,0,0,0,0,0,127,Norway,0,0
18684,MARTIN Daniel,3,21,0,3,0,3,0,0,0,3,121,Ireland,10,21
54348,PHILIPSEN Jasper,24,21,1,0,0,0,0,0,0,0,128,Belgium,0,0
42410,BACKAERT Frederik,0,22,0,0,0,0,0,0,0,0,192,Belgium,0,0
43740,DE GENDT Aimé,0,22,0,0,0,0,0,0,0,0,193,Belgium,0,0
45389,EIKING Odd Christian,0,22,0,0,0,0,0,0,0,0,194,Norway,0,0
42839,MARTIN Guillaume,12,22,0,12,0,12,0,0,0,12,191,France,0,0
37593,MEURISSE Xandro,25,22,0,0,0,0,0,0,0,0,195,Belgium,0,0
18767,OFFREDO Yoann,0,22,0,0,0,0,0,0,0,0,196,France,0,0
25910,PASQUALON Andrea,1,22,0,0,0,0,0,0,0,0,197,Italy,1,2
19687,VAN MELSEN Kevin,0,22,0,0,0,0,0,0,0,0,198,Belgium,0,0
18696,KANGERT Tanel,4,8,0,0,0,0,0,0,0,0,94,Estonia,0,0
1389,LANGEVELD Sebastian,4,8,0,0,0,0,0,0,0,0,95,Netherlands,0,0
28244,SCULLY Thomas,4,8,0,0,0,0,0,0,0,0,96,New Zealand,0,0
42510,LEDANOIS Kevin,0,13,0,0,0,0,0,0,0,0,216,France,0,0
251,MOINARD Amaël,0,13,0,0,0,0,0,0,0,0,217,France,0,0
2631,CUMMINGS Stephen,0,14,0,0,0,0,0,0,0,0,203,United Kingdom,0,0
22001,JANSE VAN RENSBURG Reinardt,0,14,0,0,0,0,0,0,0,0,204,South Africa,1,2
25139,NIZZOLO Giacomo,24,14,1,0,0,0,0,0,0,0,207,Italy,1,2
42495,BONIFAZIO Niccolo,25,19,0,15,15,0,0,0,0,0,172,Italy,0,0
45005,GRELLIER Fabien,0,19,0,0,0,0,0,0,0,0,173,France,0,0
53135,OURSELIN Paul,0,19,0,0,0,0,0,0,0,0,174,France,0,0
55,BAK Lars Ytting,0,14,0,0,0,0,0,0,0,0,202,Denmark,0,0
