type,year_int,position,renner_ID,points
Laatst,2022,36,53159,4
Laatst,2021,34,54709,4
Laatst,2021,35,44824,3
Laatst,2022,37,51074,3
Laatst,2021,36,7242,2
Laatst,2022,38,23647,2
Laatst,2022,39,35418,2
Laatst,2022,40,37581,2
Laatst,2021,37,53377,2
Laatst,2021,38,54297,2
Laatst,2022,41,54297,2
Laatst,2022,42,55337,2
Laatst,2021,39,28203,1
Laatst,2021,40,42314,1
Laatst,2022,43,42314,1
Laatst,2022,44,54332,1
Laatst,2021,41,55616,1
